"","name","address","type","fullLocation","lat","lng"
"71","Khanh Van Nam Vien Pagoda","Ho Chi Minh City","Religious","Khanh Van Nam Vien Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"72","Bidoup Nui Ba National Park ","South-West Highlands","Parks & Gardens","Bidoup Nui Ba National Park , South-West Highlands",NA,NA
"73","Monkey Island Eco Forest Park","Can Gio","Parks & Gardens","Monkey Island Eco Forest Park, Can Gio",NA,NA
"74","Phong Nha Caves & Boat Trip","Phong Nha-Ke Bang National Park","Natural Landmarks","Phong Nha Caves & Boat Trip, Phong Nha-Ke Bang National Park",NA,NA
"75","Bat Pagoda","Soc Trang","Religious","Bat Pagoda, Soc Trang",NA,NA
"76","Phung Son Pagoda","Ho Chi Minh City","Religious","Phung Son Pagoda, Ho Chi Minh City",NA,NA
"77","Long Beach","Phu Quoc Island","Beaches, Islands & Waterfronts","Long Beach, Phu Quoc Island",NA,NA
"78","Tran Family Chapel","Hoi An","Architecture","Tran Family Chapel, Hoi An",15.8800584,NA
"79","Quy Hoa Beach & Leper Hospital","Quy Nhon","Beaches, Islands & Waterfronts","Quy Hoa Beach & Leper Hospital, Quy Nhon",22.4826401,20.583333
"80","Alexandre Yersin Museum","Nha Trang","Museums & Galleries","Alexandre Yersin Museum, Nha Trang",12.2387911,109.1967488
"81","Ho Chi Minh’s Stilt House & the Presidential Palace","Hanoi","Other","Ho Chi Minh’s Stilt House & the Presidential Palace, Hanoi",NA,NA
"82","HCMC Museum","Ho Chi Minh City","Museums & Galleries","HCMC Museum, Ho Chi Minh City",10.8230989,10.8184631
"83","Cavern Pagoda","Sam Mountain","Religious","Cavern Pagoda, Sam Mountain",NA,NA
"84","Group A","My Son","Religious","Group A, My Son",15.7626486,108.1251502
"85","Giac Vien Pagoda","Ho Chi Minh City","Religious","Giac Vien Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"86","Tiger Cages","Con Dao Islands","Architecture","Tiger Cages, Con Dao Islands",NA,NA
"87","Mariamman Hindu Temple","Ho Chi Minh City","Religious","Mariamman Hindu Temple, Ho Chi Minh City",10.7724397,106.6957479
"88","Thay Pagoda","Thay & Tay Phuong Pagodas","Religious","Thay Pagoda, Thay & Tay Phuong Pagodas",NA,NA
"89","Ho Chi Minh Museum","Ho Chi Minh City","Museums & Galleries","Ho Chi Minh Museum, Ho Chi Minh City",10.7682712,NA
"90","Vuc Quanh Outdoor War Museum","Dong Hoi & Around","Museums & Galleries","Vuc Quanh Outdoor War Museum, Dong Hoi & Around",21.0120181,NA
"91","Royal Tombs","Hue","Other","Royal Tombs, Hue",16.4498,NA
"92","Quan Cong Temple","Hoi An","Religious","Quan Cong Temple, Hoi An",15.8800584,NA
"93","Tomb of Khai Dinh","Hue","Cemeteries, Memorials & Tombs","Tomb of Khai Dinh, Hue",16.4170042,107.5842028
"94","Lat & Lang Dinh An Villages","Dalat & Around","Neighbourhoods & Villages","Lat & Lang Dinh An Villages, Dalat & Around",16.6582202,43.499052
"95","Tay An Pagoda","Sam Mountain","Religious","Tay An Pagoda, Sam Mountain",34.341568,108.940175
"96","Thien Hau Pagoda","Ho Chi Minh City","Religious","Thien Hau Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"97","Ha Chuong Hoi Quan Pagoda","Ho Chi Minh City","Religious","Ha Chuong Hoi Quan Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"98","Phu Dung Pagoda","Ha Tien","Religious","Phu Dung Pagoda, Ha Tien",20.8462693,20.0470145
"99","Bao Dai’s Summer Palace","Dalat","Architecture","Bao Dai’s Summer Palace, Dalat",11.9404192,108.4583132
"100","Vinh Moc Tunnels","Demilitarised Zone (Dmz)","Historic","Vinh Moc Tunnels, Demilitarised Zone (Dmz)",NA,NA
"101","Bac Lieu Bird Sanctuary","Around Bac Lieu","Parks & Gardens","Bac Lieu Bird Sanctuary, Around Bac Lieu",NA,NA
"102","Mine Action Visitor Centre","Dong Ha","Museums & Galleries","Mine Action Visitor Centre, Dong Ha",16.8515799,20.5424373
"103","An Thoi Islands","Phu Quoc Island","Beaches, Islands & Waterfronts","An Thoi Islands, Phu Quoc Island",10.289879,103.98402
"104","Ba Vi National Park","Ba Vi National Park","Parks & Gardens","Ba Vi National Park, Ba Vi National Park",21.0700041,21.0780556
"105","Phong Dien Floating Market","Around Can Tho","Markets & Bazaars","Phong Dien Floating Market, Around Can Tho",10.0451618,105.7468535
"106","Ba Om Pond & Ang Pagoda","Tra Vinh","Religious","Ba Om Pond & Ang Pagoda, Tra Vinh",NA,NA
"107","Kim Lien","Vinh","Other","Kim Lien, Vinh",16.1387556,108.1265614
"108","Tao Dan Park","Ho Chi Minh City","Parks & Gardens","Tao Dan Park, Ho Chi Minh City",10.7744581,106.6922155
"109","Tomb of Nguyen Sinh Sac","Cao Lanh","Parks & Gardens","Tomb of Nguyen Sinh Sac, Cao Lanh",10.2903676,10.2869936
"110","Ben Duoc Tunnels","Around Ho Chi Minh City","Other","Ben Duoc Tunnels, Around Ho Chi Minh City",NA,10.8184631
"111","Quan Am Pagoda","Ho Chi Minh City","Religious","Quan Am Pagoda, Ho Chi Minh City",10.8451429,106.7501836
"112","Ho Quyen","Around Hue","Other","Ho Quyen, Around Hue",16.4498,107.5623501
"113","Ben Dinh","Cu Chi","Historic","Ben Dinh, Cu Chi",NA,NA
"114","Fish Sauce Factory","Phu Quoc Island","Farms, Workshops & Factories","Fish Sauce Factory, Phu Quoc Island",10.289879,103.98402
"115","Tu Lan Caves","Phong Nha-Ke Bang National Park","Natural Landmarks","Tu Lan Caves, Phong Nha-Ke Bang National Park",NA,NA
"116","Can Cau Market","Bac Ha","Markets & Bazaars","Can Cau Market, Bac Ha",NA,NA
"117","Nguyen Trung Truc Temple","Rach Gia","Religious","Nguyen Trung Truc Temple, Rach Gia",NA,NA
"118","Cu Chi Tunnels","Cu Chi","Historic","Cu Chi Tunnels, Cu Chi",11.0459359,106.5133628
"119","Hon Chong Promontory","Nha Trang","Landmarks & Monuments","Hon Chong Promontory, Nha Trang",12.2387911,109.1967488
"120","Nguom Ngao Cave","Ban Gioc Waterfall & Nguom Ngao Cave","Natural Landmarks","Nguom Ngao Cave, Ban Gioc Waterfall & Nguom Ngao Cave",NA,NA
"121","Cai Rang Floating Market","Around Can Tho","Markets & Bazaars","Cai Rang Floating Market, Around Can Tho",10.0451618,105.7468535
"122","Hamburger Hill","Demilitarised Zone (Dmz)","Historic","Hamburger Hill, Demilitarised Zone (Dmz)",NA,NA
"123","Truong Son National Cemetery","Demilitarised Zone (Dmz)","Cemeteries, Memorials & Tombs","Truong Son National Cemetery, Demilitarised Zone (Dmz)",NA,NA
"124","Thuan An to Vinh HienThuan An Beach","Around Hue","Beaches, Islands & Waterfronts","Thuan An to Vinh HienThuan An Beach, Around Hue",16.4498,NA
"125","Sao, Dam & Vong Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts","Sao, Dam & Vong Beaches, Phu Quoc Island",16.7146178,NA
"126","Ngoc Son Temple","Hanoi","Religious","Ngoc Son Temple, Hanoi",21.0306862,NA
"127","Tam Thanh and Nhi Thanh Caves","Lang Son","Other","Tam Thanh and Nhi Thanh Caves, Lang Son",NA,NA
"128","Phu Hai Prison","Con Dao Islands","Architecture","Phu Hai Prison, Con Dao Islands",NA,NA
"129","Hang Duong Cemetery","Con Dao Islands","Cemeteries, Memorials & Tombs","Hang Duong Cemetery, Con Dao Islands",NA,NA
"130","Lang Bian Mountain","Dalat","Parks & Gardens","Lang Bian Mountain, Dalat",11.9404192,108.4583132
"131","Mekong River Islands","Vinh Long","Beaches, Islands & Waterfronts","Mekong River Islands, Vinh Long",NA,NA
"132","Tam Dao National Park","Around Hanoi","Parks & Gardens","Tam Dao National Park, Around Hanoi",21.0277644,105.8341598
"133","Saigon South","Ho Chi Minh City","Neighbourhoods & Villages","Saigon South, Ho Chi Minh City",10.8230989,106.6296638
"134","Nghia An Hoi Quan Pagoda","Ho Chi Minh City","Religious","Nghia An Hoi Quan Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"135","One Pillar Pagoda","Hanoi","Religious","One Pillar Pagoda, Hanoi",21.0358134,105.833656
"136","Valley of Love","Dalat & Around","Parks & Gardens","Valley of Love, Dalat & Around",11.9404192,108.4583132
"137","Bang Lang","Around Can Tho","Nature & Wildlife","Bang Lang, Around Can Tho",10.0451618,105.7468535
"138","Cat Co Cove","Cat Ba Island","Beaches, Islands & Waterfronts","Cat Co Cove, Cat Ba Island",20.8,106.999722
"139","Ben Duoc","Cu Chi","Historic","Ben Duoc, Cu Chi",11.142303,NA
"140","Nha Trang Cathedral","Nha Trang","Religious","Nha Trang Cathedral, Nha Trang",12.2387911,NA
"141","Huynh Thuy Le Old House","Sa Dec","Architecture","Huynh Thuy Le Old House, Sa Dec",10.2911766,NA
"142","Long Khanh Pagoda","Quy Nhon","Religious","Long Khanh Pagoda, Quy Nhon",13.7723959,NA
"143","Suoi Tranh & Suoi Da Ban","Phu Quoc Island","Lakes, Rivers & Waterfalls","Suoi Tranh & Suoi Da Ban, Phu Quoc Island",10.1785347,NA
"144","Worldwide Arms Museum","Vung Tau","Museums & Galleries","Worldwide Arms Museum, Vung Tau",10.3399599,NA
"145","St Joseph Cathedral","Hanoi","Religious","St Joseph Cathedral, Hanoi",21.0288468,NA
"146","Cai Be Floating Market","Vinh Long","Markets & Bazaars","Cai Be Floating Market, Vinh Long",NA,NA
"147","Tu Hieu Pagoda","Around Hue","Religious","Tu Hieu Pagoda, Around Hue",16.4498,107.5623501
"148","Mosques","Chau Doc","Religious","Mosques, Chau Doc",NA,NA
"149","Ho Chi Minh Trail Museum","Around Hanoi","Museums & Galleries","Ho Chi Minh Trail Museum, Around Hanoi",21.0277644,105.8341598
"150","Phuoc Lam Pagoda","Hoi An","Religious","Phuoc Lam Pagoda, Hoi An",15.8800584,108.3380469
"151","Tam Coc","Tam Coc","Other","Tam Coc, Tam Coc",NA,NA
"152","Dieu De National Pagoda","Hue","Religious","Dieu De National Pagoda, Hue",16.4498,107.5623501
"153","Nurseries","Sa Dec","Other","Nurseries, Sa Dec",10.2911766,10.2895484
"154","Tam Son Hoi Quan Pagoda","Ho Chi Minh City","Religious","Tam Son Hoi Quan Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"155","Cao Dai Temple","Danang","Religious","Cao Dai Temple, Danang",16.0238326,108.2125453
"156","Ngo Mon Gate","Hue","Landmarks & Monuments","Ngo Mon Gate, Hue",16.4498,NA
"157","Binh Dinh Museum","Quy Nhon","Museums & Galleries","Binh Dinh Museum, Quy Nhon",13.7723959,13.7718755
"158","Ong Temple","Can Tho","Religious","Ong Temple, Can Tho",10.0451618,105.7468535
"159","Nam Giao Esplanade","Around Hue","Architecture","Nam Giao Esplanade, Around Hue",16.4498,107.5623501
"160","Van Thanh Mieu Temple","Vinh Long","Religious","Van Thanh Mieu Temple, Vinh Long",10.2448442,105.958865
"161","Vinh Trang Pagoda","My Tho","Religious","Vinh Trang Pagoda, My Tho",10.3765284,106.3438891
"162","Hospital Cave","Cat Ba Island","Historic","Hospital Cave, Cat Ba Island",20.8,106.999722
"163","Guangzhou Assembly Hall","Can Tho","Landmarks & Monuments","Guangzhou Assembly Hall, Can Tho",10.0451618,105.7468535
"164","Tomb of Thoai Ngoc Hau","Sam Mountain","Cemeteries, Memorials & Tombs","Tomb of Thoai Ngoc Hau, Sam Mountain",14.058324,108.277199
"165","Du Sinh Church","Dalat & Around","Religious","Du Sinh Church, Dalat & Around",11.9404192,108.4583132
"166","Halls of the Mandarins","Hue","Architecture","Halls of the Mandarins, Hue",16.4498,107.5623501
"167","Thach Dong Cave Pagoda","Ha Tien","Religious","Thach Dong Cave Pagoda, Ha Tien",NA,NA
"168","Temple","Hoi An","Other","Temple, Hoi An",15.8782019,108.3239046
"169","Revolutionary Museum","Con Dao Islands","Museums & Galleries","Revolutionary Museum, Con Dao Islands",NA,NA
"170","Dao Tien Endangered Primate Species Centre","Cat Tien National Park","Parks & Gardens","Dao Tien Endangered Primate Species Centre, Cat Tien National Park",NA,NA
"171","Ong Bon Pagoda","Ho Chi Minh City","Religious","Ong Bon Pagoda, Ho Chi Minh City",10.8230989,10.8184631
"172","Crémaillère Railway Station","Dalat","Architecture","Crémaillère Railway Station, Dalat",11.9404192,NA
"173","Truc Lam Pagoda & Cable Car ","Dalat & Around","Religious","Truc Lam Pagoda & Cable Car , Dalat & Around",10.7643715,NA
"174","Ho Chi Minh Museum","Hanoi","Museums & Galleries","Ho Chi Minh Museum, Hanoi",21.0356034,NA
"175","Marc Hoa Binh Pagoda","Around Bac Lieu","Other","Marc Hoa Binh Pagoda, Around Bac Lieu",9.2515555,NA
"176","22 Ly Tu Trong","Ho Chi Minh City","Historic","22 Ly Tu Trong, Ho Chi Minh City",10.7780942,NA
"177","Tay Phuong Pagoda","Thay & Tay Phuong Pagodas","Religious","Tay Phuong Pagoda, Thay & Tay Phuong Pagodas",5.4638158,NA
"178","Thap Doi Cham Towers","Quy Nhon","Religious","Thap Doi Cham Towers, Quy Nhon",13.7723959,13.7718755
"179","Saigon Central Mosque","Ho Chi Minh City","Religious","Saigon Central Mosque, Ho Chi Minh City",10.7762378,106.7043912
"180","Duong Dong","Phu Quoc Island","Neighbourhoods & Villages","Duong Dong, Phu Quoc Island",10.195684,103.9679332
"181","Ong Pagoda","Tra Vinh","Religious","Ong Pagoda, Tra Vinh",9.9485616,106.3419216
"182","Sao Beach","Phu Quoc Island","Beaches, Islands & Waterfronts","Sao Beach, Phu Quoc Island",10.289879,103.98402
"183","Giant Jesus","Vung Tau","Landmarks & Monuments","Giant Jesus, Vung Tau",10.4113797,107.136224
"184","President Ho Chi Minh Temple","Tra Vinh","Religious","President Ho Chi Minh Temple, Tra Vinh",18.6795848,105.6813333
"185","Muong Cultural Museum","Hoa Binh","Museums & Galleries","Muong Cultural Museum, Hoa Binh",20.6861265,105.3131185
"186","Quang Trung Museum","South-East Coast","Museums & Galleries","Quang Trung Museum, South-East Coast",NA,NA
"187","Marble Mountains","Around Danang","Other","Marble Mountains, Around Danang",16.0544068,108.2021667
"188","Ako Dhong Village","Buon Ma Thuot","Neighbourhoods & Villages","Ako Dhong Village, Buon Ma Thuot",12.6661944,NA
"189","Nui Coc Reservoir","Northeast Vietnam","Other","Nui Coc Reservoir, Northeast Vietnam",NA,NA
"190","Markets","Ha Tien","Markets & Bazaars","Markets, Ha Tien",NA,NA
"191","Other Groups","My Son","Religious","Other Groups, My Son",NA,NA
"192","Imperial Citadel","Hanoi","Historic","Imperial Citadel, Hanoi",NA,NA
"193","Bunker of General Giap","Pa Khoang Lake","Other","Bunker of General Giap, Pa Khoang Lake",NA,NA
"194","Cannon Fort","Cat Ba Island","Landmarks & Monuments","Cannon Fort, Cat Ba Island",20.8,106.999722
"195","Cu Chi Wildlife Rescue Station","Cu Chi","Nature & Wildlife","Cu Chi Wildlife Rescue Station, Cu Chi",NA,NA
"196","Thai Hoa Palace","Hue","Castles, Palaces & Mansions","Thai Hoa Palace, Hue",16.4498,107.5623501
"197","Cua Can & Ong Lan Beaches","Phu Quoc Island","Beaches, Islands & Waterfronts","Cua Can & Ong Lan Beaches, Phu Quoc Island",10.3043743,103.902799
"198","Cat Tien National Park","Cat Tien National Park","Parks & Gardens","Cat Tien National Park, Cat Tien National Park",11.419119,107.426548
"199","Buddha","Nha Trang","Landmarks & Monuments","Buddha, Nha Trang",12.2387911,109.1967488
"200","Floating Houses","Chau Doc","Architecture","Floating Houses, Chau Doc",NA,NA
"201","Kh’leang Pagoda","Soc Trang","Religious","Kh’leang Pagoda, Soc Trang",9.6102441,105.9776562
"202","Memorial House","Hanoi","Architecture","Memorial House, Hanoi",21.0277644,105.8341598
"203","Venerable Thich Quang Duc Memorial","Ho Chi Minh City","Landmarks & Monuments","Venerable Thich Quang Duc Memorial, Ho Chi Minh City",10.8230989,NA
"204","Old French Prison & Museum","Son La","Museums & Galleries","Old French Prison & Museum, Son La",NA,NA
"205","My Khe","China Beach","Beaches, Islands & Waterfronts","My Khe, China Beach",NA,NA
"206","Hang En","Phong Nha-Ke Bang National Park","Natural Landmarks","Hang En, Phong Nha-Ke Bang National Park",NA,NA
"207","Can Gio Mangrove Forest","Around Ho Chi Minh City","Other","Can Gio Mangrove Forest, Around Ho Chi Minh City",10.8230989,10.8184631
"208","Ong Ngu","Cham Islands","Religious","Ong Ngu, Cham Islands",14.058324,108.277199
"209","Van Long Nature Reserve","Van Long Nature Reserve","Parks & Gardens","Van Long Nature Reserve, Van Long Nature Reserve",NA,NA
"210","Nine Holy Cannons","Hue","Other","Nine Holy Cannons, Hue",16.4498,107.5623501
"211","Duc Thanh","Hue","Other","Duc Thanh, Hue",16.4767647,107.5974366
"212","Forbidden Purple City","Hue","Historic","Forbidden Purple City, Hue",NA,107.5623501
"213","Cham Cultural Centre","Phan Rang & Thap Cham","Museums & Galleries","Cham Cultural Centre, Phan Rang & Thap Cham",NA,108.994797
"214","Duong Long Cham Towers","Cha Ban Cham Area","Architecture","Duong Long Cham Towers, Cha Ban Cham Area",NA,NA
"215","Dong Ho","Ha Tien","Other","Dong Ho, Ha Tien",10.3829787,NA
"216","Phu Quoc National Park","Phu Quoc Island","Parks & Gardens","Phu Quoc National Park, Phu Quoc Island",10.289879,NA
"217","Ngoc Tien Monastery","Ha Tien","Religious","Ngoc Tien Monastery, Ha Tien",NA,NA
"218","Tam Bao Pagoda","Ha Tien","Religious","Tam Bao Pagoda, Ha Tien",NA,NA
"219","Military Museum","Ho Chi Minh City","Museums & Galleries","Military Museum, Ho Chi Minh City",10.9691396,10.7794222
"220","Bai Dat Doc","Con Dao Islands","Beaches, Islands & Waterfronts","Bai Dat Doc, Con Dao Islands",NA,NA
"221","Ho Chi Minh’s Stilt House","Hanoi","Historic","Ho Chi Minh’s Stilt House, Hanoi",21.0277644,105.8341598
"222","Con Son Pagoda Complex","Northeast Vietnam","Other","Con Son Pagoda Complex, Northeast Vietnam",NA,NA
"223","Dak Lak Museum","Buon Ma Thuot","Museums & Galleries","Dak Lak Museum, Buon Ma Thuot",12.6661944,108.0382475
"224","Museum of Ethnology","Northeast Vietnam","Other","Museum of Ethnology, Northeast Vietnam",21.0395559,105.798018
"225","Military Museum","Can Tho","Museums & Galleries","Military Museum, Can Tho",10.0451618,105.7468535
"226","Flag Tower","Hue","Architecture","Flag Tower, Hue",16.4498,107.5623501
"227","Huong Pagoda","Sa Dec","Religious","Huong Pagoda, Sa Dec",10.2911766,10.2895484
"228","San Chim Vam Ho Bird Sanctuary","Mekong Delta","Other","San Chim Vam Ho Bird Sanctuary, Mekong Delta",NA,NA
"229","Tran Duong House","Hoi An","Historic","Tran Duong House, Hoi An",15.8800584,NA
"230","Dien Tho Residence","Hue","Architecture","Dien Tho Residence, Hue",16.4498,NA
"231","Lung Cu","Dong Van","Landmarks & Monuments","Lung Cu, Dong Van",23.3674196,NA
"232","Bich Dong Pagoda","Tam Coc","Religious","Bich Dong Pagoda, Tam Coc",NA,NA
"233","Tam Bao Pagoda","Rach Gia","Architecture","Tam Bao Pagoda, Rach Gia",NA,NA
"234","Mua Cave","Ninh Binh Province","Natural Landmarks","Mua Cave, Ninh Binh Province",NA,105.92299
"235","Elephant Falls","Dalat & Around","Lakes, Rivers & Waterfalls","Elephant Falls, Dalat & Around",11.9404192,108.4583132
"236","Thanh Toan Bridge","Around Hue","Architecture","Thanh Toan Bridge, Around Hue",16.4498,107.5623501
